,subtype,correlation,p.value
TMA.Slide.1...023...Segment.1,BL2,0.416707446214268,0
TMA.Slide.1...027...Segment.1,IM,0.185378756474677,0.008
TMA.Slide.1...034...Segment.1,MSL,0.225287695102421,0
TMA.Slide.2...025...Segment.1,LAR,0.100260456509761,0.034
TMA.Slide.1...026...Segment.1,IM,0.147241022621174,0.029
TMA.Slide.1...020...Segment.1,IM,0.111670301912669,0
TMA.Slide.1...031...Segment.1,UNS,NA,NA
TMA.Slide.1...010...Segment.1,M,0.22185143617485,0
TMA.Slide.1...003...Segment.1,BL1,0.364225107207489,0
TMA.Slide.1...009...Segment.1,IM,0.254723140181026,0.008
TMA.Slide.1...028...Segment.1,IM,0.114969239232763,0.015
TMA.Slide.1...022...Segment.1,BL2,0.343790468128227,0
TMA.Slide.1...032...Segment.1,UNS,NA,NA
TMA.Slide.1...030...Segment.1,UNS,NA,NA
TMA.Slide.1...004...Segment.1,BL1,0.310844852052801,0
TMA.Slide.2...017...Segment.1,MSL,0.127998601294009,0.004
TMA.Slide.1...017...Segment.1,BL1,0.110802504878567,0.032
TMA.Slide.1...033...Segment.1,UNS,NA,NA
TMA.Slide.1...014...Segment.1,BL1,0.375381772739136,0
TMA.Slide.1...015...Segment.1,BL1,0.384601357529414,0
TMA.Slide.1...029...Segment.1,IM,0.167937194829815,0.001
TMA.Slide.2...019...Segment.1,LAR,0.140440797359288,0.001
TMA.Slide.2...058...Segment.1,UNS,NA,NA
TMA.Slide.1...016...Segment.1,BL2,0.16406674104017,0.035
TMA.Slide.1...040...Segment.1,UNS,NA,NA
TMA.Slide.1...013...Segment.1,BL1,0.289518123726344,0
TMA.Slide.1...021...Segment.1,UNS,NA,NA
TMA.Slide.1...008...Segment.1,IM,0.4882064031985,0
TMA.Slide.1...037...Segment.1,LAR,0.209815572076979,0.001
TMA.Slide.2...055...Segment.1,LAR,0.166492604313672,0
TMA.Slide.1...005...Segment.1,BL1,0.278566625932718,0
TMA.Slide.1...025...Segment.1,LAR,0.332727841381411,0
TMA.Slide.1...018...Segment.1,LAR,0.103911684486495,0.012
TMA.Slide.2...056...Segment.1,LAR,0.200801833083467,0
TMA.Slide.1...019...Segment.1,LAR,0.128632266774393,0
TMA.Slide.1...002...Segment.1,BL1,0.368012154503233,0
TMA.Slide.1...039...Segment.1,UNS,NA,NA
TMA.Slide.1...006...Segment.1,UNS,NA,NA
TMA.Slide.2...015...Segment.1,UNS,NA,NA
TMA.Slide.2...024...Segment.1,MSL,0.183465616849737,0
TMA.Slide.1...011...Segment.1,LAR,0.24984548607255,0
TMA.Slide.2...018...Segment.1,UNS,NA,NA
TMA.Slide.1...036...Segment.1,UNS,NA,NA
TMA.Slide.1...007...Segment.1,IM,0.476805451706758,0
TMA.Slide.1...024...Segment.1,LAR,0.417951418958632,0
TMA.Slide.2...039...Segment.1,BL2,0.251732802963191,0.002
TMA.Slide.2...016...Segment.1,UNS,NA,NA
TMA.Slide.1...038...Segment.1,LAR,0.220888891695033,0
TMA.Slide.2...020...Segment.1,MSL,0.137840071896564,0.033
TMA.Slide.2...009...Segment.1,UNS,NA,NA
TMA.Slide.1...012...Segment.1,UNS,NA,NA
TMA.Slide.2...042...Segment.1,MSL,0.158712572442676,0
TMA.Slide.2...043...Segment.1,MSL,0.220140185115661,0
TMA.Slide.2...010...Segment.1,MSL,0.170918905474106,0.014
TMA.Slide.2...038...Segment.1,LAR,0.375734035580878,0
TMA.Slide.1...035...Segment.1,MSL,0.111994721066038,0.033
